d_idle,p_idle,idle,total_d,total_p,total,ep
37.0,349.0,386.0,1218.0,758.0,1976.0,118
60.0,306.0,366.0,1241.0,715.0,1956.0,119
32.0,365.0,397.0,1213.0,774.0,1987.0,120
36.0,331.0,367.0,1217.0,740.0,1957.0,121
33.0,253.0,286.0,1214.0,662.0,1876.0,122
34.0,344.0,378.0,1215.0,753.0,1968.0,123
11.0,423.0,434.0,1192.0,832.0,2024.0,124
33.0,352.0,385.0,1214.0,761.0,1975.0,125
24.0,268.0,292.0,1205.0,677.0,1882.0,126
67.0,342.0,409.0,1248.0,751.0,1999.0,127
13.0,325.0,338.0,1194.0,734.0,1928.0,128
24.0,224.0,248.0,1205.0,633.0,1838.0,129
28.0,258.0,286.0,1209.0,667.0,1876.0,130
22.0,368.0,390.0,1203.0,777.0,1980.0,131
33.0,314.0,347.0,1214.0,723.0,1937.0,132
30.0,288.0,318.0,1211.0,697.0,1908.0,133
22.0,405.0,427.0,1203.0,814.0,2017.0,134
26.0,367.0,393.0,1207.0,776.0,1983.0,135
18.0,367.0,385.0,1199.0,776.0,1975.0,136
9.0,346.0,355.0,1190.0,755.0,1945.0,137
61.0,206.0,267.0,1242.0,615.0,1857.0,138
27.0,255.0,282.0,1208.0,664.0,1872.0,139
41.0,422.0,463.0,1222.0,831.0,2053.0,140
55.0,384.0,439.0,1236.0,793.0,2029.0,141
30.0,345.0,375.0,1211.0,754.0,1965.0,142
11.0,366.0,377.0,1192.0,775.0,1967.0,143
34.0,271.0,305.0,1215.0,680.0,1895.0,144
45.0,331.0,376.0,1226.0,740.0,1966.0,145
31.0,324.0,355.0,1212.0,733.0,1945.0,146
39.0,182.0,221.0,1220.0,591.0,1811.0,147
24.0,323.0,347.0,1205.0,732.0,1937.0,148
34.0,330.0,364.0,1215.0,739.0,1954.0,149
16.0,221.0,237.0,1197.0,630.0,1827.0,150
34.0,259.0,293.0,1215.0,668.0,1883.0,151
30.0,293.0,323.0,1211.0,702.0,1913.0,152
50.0,265.0,315.0,1231.0,674.0,1905.0,153
0.0,407.0,407.0,1181.0,816.0,1997.0,154
31.0,284.0,315.0,1212.0,693.0,1905.0,155
47.0,319.0,366.0,1228.0,728.0,1956.0,156
86.0,310.0,396.0,1267.0,719.0,1986.0,157
28.0,377.0,405.0,1209.0,786.0,1995.0,158
32.0,382.0,414.0,1213.0,791.0,2004.0,159
50.0,318.0,368.0,1231.0,727.0,1958.0,160
8.0,290.0,298.0,1189.0,699.0,1888.0,161
42.0,198.0,240.0,1223.0,607.0,1830.0,162
25.0,295.0,320.0,1206.0,704.0,1910.0,163
24.0,321.0,345.0,1205.0,730.0,1935.0,164
38.0,313.0,351.0,1219.0,722.0,1941.0,165
8.0,316.0,324.0,1189.0,725.0,1914.0,166
85.0,258.0,343.0,1266.0,667.0,1933.0,167
48.0,257.0,305.0,1229.0,666.0,1895.0,168
11.0,382.0,393.0,1192.0,791.0,1983.0,169
10.0,329.0,339.0,1191.0,738.0,1929.0,170
62.0,242.0,304.0,1243.0,651.0,1894.0,171
75.0,260.0,335.0,1256.0,669.0,1925.0,172
25.0,377.0,402.0,1206.0,786.0,1992.0,173
27.0,302.0,329.0,1208.0,711.0,1919.0,174
52.0,231.0,283.0,1233.0,640.0,1873.0,175
16.0,284.0,300.0,1197.0,693.0,1890.0,176
47.0,363.0,410.0,1228.0,772.0,2000.0,177
32.0,264.0,296.0,1213.0,673.0,1886.0,178
18.0,279.0,297.0,1199.0,688.0,1887.0,179
48.0,296.0,344.0,1229.0,705.0,1934.0,180
19.0,333.0,352.0,1200.0,742.0,1942.0,181
32.0,411.0,443.0,1213.0,820.0,2033.0,182
74.0,384.0,458.0,1255.0,793.0,2048.0,183
28.0,309.0,337.0,1209.0,718.0,1927.0,184
33.0,311.0,344.0,1214.0,720.0,1934.0,185
22.0,368.0,390.0,1203.0,777.0,1980.0,186
63.0,317.0,380.0,1244.0,726.0,1970.0,187
47.0,274.0,321.0,1228.0,683.0,1911.0,188
80.0,336.0,416.0,1261.0,745.0,2006.0,189
45.0,297.0,342.0,1226.0,706.0,1932.0,190
26.0,372.0,398.0,1207.0,781.0,1988.0,191
23.0,255.0,278.0,1204.0,664.0,1868.0,192
11.0,378.0,389.0,1192.0,787.0,1979.0,193
42.0,423.0,465.0,1223.0,832.0,2055.0,194
25.0,293.0,318.0,1206.0,702.0,1908.0,195
51.0,416.0,467.0,1232.0,825.0,2057.0,196
39.0,261.0,300.0,1220.0,670.0,1890.0,197
43.0,305.0,348.0,1224.0,714.0,1938.0,198
65.0,404.0,469.0,1246.0,813.0,2059.0,199
8.0,313.0,321.0,1189.0,722.0,1911.0,200
23.0,431.0,454.0,1204.0,840.0,2044.0,201
36.0,305.0,341.0,1217.0,714.0,1931.0,202
40.0,400.0,440.0,1221.0,809.0,2030.0,203
58.0,254.0,312.0,1239.0,663.0,1902.0,204
45.0,217.0,262.0,1226.0,626.0,1852.0,205
84.0,212.0,296.0,1265.0,621.0,1886.0,206
48.0,410.0,458.0,1229.0,819.0,2048.0,207
16.0,348.0,364.0,1197.0,757.0,1954.0,208
32.0,348.0,380.0,1213.0,757.0,1970.0,209
29.0,373.0,402.0,1210.0,782.0,1992.0,210
65.0,262.0,327.0,1246.0,671.0,1917.0,211
44.0,261.0,305.0,1225.0,670.0,1895.0,212
22.0,358.0,380.0,1203.0,767.0,1970.0,213
55.0,323.0,378.0,1236.0,732.0,1968.0,214
63.0,251.0,314.0,1244.0,660.0,1904.0,215
44.0,315.0,359.0,1225.0,724.0,1949.0,216
66.0,328.0,394.0,1247.0,737.0,1984.0,217
29.0,312.0,341.0,1210.0,721.0,1931.0,218
25.0,276.0,301.0,1206.0,685.0,1891.0,219
20.0,315.0,335.0,1201.0,724.0,1925.0,220
22.0,376.0,398.0,1203.0,785.0,1988.0,221
45.0,408.0,453.0,1226.0,817.0,2043.0,222
36.0,262.0,298.0,1217.0,671.0,1888.0,223
29.0,297.0,326.0,1210.0,706.0,1916.0,224
38.0,310.0,348.0,1219.0,719.0,1938.0,225
53.0,221.0,274.0,1234.0,630.0,1864.0,226
41.0,328.0,369.0,1222.0,737.0,1959.0,227
47.0,229.0,276.0,1228.0,638.0,1866.0,228
42.0,257.0,299.0,1223.0,666.0,1889.0,229
34.0,255.0,289.0,1215.0,664.0,1879.0,230
29.0,355.0,384.0,1210.0,764.0,1974.0,231
7.0,427.0,434.0,1188.0,836.0,2024.0,232
69.0,245.0,314.0,1250.0,654.0,1904.0,233
44.0,287.0,331.0,1225.0,696.0,1921.0,234
26.0,296.0,322.0,1207.0,705.0,1912.0,235
26.0,394.0,420.0,1207.0,803.0,2010.0,236
25.0,284.0,309.0,1206.0,693.0,1899.0,237
43.0,230.0,273.0,1224.0,639.0,1863.0,238
32.0,319.0,351.0,1213.0,728.0,1941.0,239
33.0,226.0,259.0,1214.0,635.0,1849.0,240
30.0,326.0,356.0,1211.0,735.0,1946.0,241
42.0,314.0,356.0,1223.0,723.0,1946.0,242
16.0,359.0,375.0,1197.0,768.0,1965.0,243
37.0,419.0,456.0,1218.0,828.0,2046.0,244
